entity_id,state,last_changed
sensor.dishwasher_current_power,0.0,2025-12-29T10:26:30.400Z
sensor.dishwasher_current_power,unavailable,2025-12-29T16:20:10.071Z
sensor.dishwasher_current_power,0.0,2025-12-29T16:20:10.092Z
sensor.dishwasher_current_power,unavailable,2025-12-29T17:03:37.989Z
sensor.dishwasher_current_power,0.0,2025-12-29T17:03:38.001Z
sensor.dishwasher_current_power,unavailable,2025-12-29T21:23:06.609Z
sensor.dishwasher_current_power,0.0,2025-12-29T21:27:29.833Z
sensor.dishwasher_current_power,24.0,2025-12-30T09:15:33.890Z
sensor.dishwasher_current_power,10.0,2025-12-30T09:16:03.994Z
sensor.dishwasher_current_power,60.0,2025-12-30T09:16:34.114Z
sensor.dishwasher_current_power,1984.0,2025-12-30T09:17:04.248Z
sensor.dishwasher_current_power,1915.0,2025-12-30T09:17:34.399Z
sensor.dishwasher_current_power,1601.0,2025-12-30T09:18:04.520Z
sensor.dishwasher_current_power,1932.0,2025-12-30T09:18:34.637Z
sensor.dishwasher_current_power,1941.0,2025-12-30T09:19:04.755Z
sensor.dishwasher_current_power,1928.0,2025-12-30T09:19:34.875Z
sensor.dishwasher_current_power,1931.0,2025-12-30T09:20:05.017Z
sensor.dishwasher_current_power,1935.0,2025-12-30T09:20:35.126Z
sensor.dishwasher_current_power,1936.0,2025-12-30T09:21:05.261Z
sensor.dishwasher_current_power,1929.0,2025-12-30T09:21:35.386Z
sensor.dishwasher_current_power,1934.0,2025-12-30T09:22:05.506Z
sensor.dishwasher_current_power,1942.0,2025-12-30T09:22:35.700Z
sensor.dishwasher_current_power,1944.0,2025-12-30T09:23:05.820Z
sensor.dishwasher_current_power,1931.0,2025-12-30T09:23:35.940Z
sensor.dishwasher_current_power,1936.0,2025-12-30T09:24:06.061Z
sensor.dishwasher_current_power,1929.0,2025-12-30T09:24:36.188Z
sensor.dishwasher_current_power,1932.0,2025-12-30T09:25:06.312Z
sensor.dishwasher_current_power,1923.0,2025-12-30T09:25:36.448Z
sensor.dishwasher_current_power,1928.0,2025-12-30T09:26:06.575Z
sensor.dishwasher_current_power,1932.0,2025-12-30T09:26:36.692Z
sensor.dishwasher_current_power,1927.0,2025-12-30T09:28:07.069Z
sensor.dishwasher_current_power,1936.0,2025-12-30T09:28:37.207Z
sensor.dishwasher_current_power,62.0,2025-12-30T09:29:07.357Z
sensor.dishwasher_current_power,61.0,2025-12-30T09:29:37.515Z
sensor.dishwasher_current_power,62.0,2025-12-30T09:30:37.835Z
sensor.dishwasher_current_power,58.0,2025-12-30T09:31:08.018Z
sensor.dishwasher_current_power,59.0,2025-12-30T09:31:38.176Z
sensor.dishwasher_current_power,66.0,2025-12-30T09:32:08.290Z
sensor.dishwasher_current_power,22.0,2025-12-30T09:32:38.431Z
sensor.dishwasher_current_power,10.0,2025-12-30T09:33:08.572Z
sensor.dishwasher_current_power,68.0,2025-12-30T09:33:38.793Z
sensor.dishwasher_current_power,2049.0,2025-12-30T09:34:08.933Z
sensor.dishwasher_current_power,1940.0,2025-12-30T09:34:39.083Z
sensor.dishwasher_current_power,1944.0,2025-12-30T09:35:09.226Z
sensor.dishwasher_current_power,1938.0,2025-12-30T09:35:39.364Z
sensor.dishwasher_current_power,1944.0,2025-12-30T09:36:09.495Z
sensor.dishwasher_current_power,1923.0,2025-12-30T09:36:39.621Z
sensor.dishwasher_current_power,1932.0,2025-12-30T09:37:09.757Z
sensor.dishwasher_current_power,1946.0,2025-12-30T09:38:10.072Z
sensor.dishwasher_current_power,1927.0,2025-12-30T09:38:40.287Z
sensor.dishwasher_current_power,1937.0,2025-12-30T09:39:10.441Z
sensor.dishwasher_current_power,1938.0,2025-12-30T09:39:40.557Z
sensor.dishwasher_current_power,1928.0,2025-12-30T09:40:10.675Z
sensor.dishwasher_current_power,65.0,2025-12-30T09:40:40.786Z
sensor.dishwasher_current_power,70.0,2025-12-30T09:41:10.925Z
sensor.dishwasher_current_power,69.0,2025-12-30T09:41:41.065Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:42:41.312Z
sensor.dishwasher_current_power,68.0,2025-12-30T09:43:41.609Z
sensor.dishwasher_current_power,67.0,2025-12-30T09:44:11.767Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:44:41.908Z
sensor.dishwasher_current_power,68.0,2025-12-30T09:45:42.158Z
sensor.dishwasher_current_power,12.0,2025-12-30T09:46:12.269Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:46:42.510Z
sensor.dishwasher_current_power,69.0,2025-12-30T09:47:42.766Z
sensor.dishwasher_current_power,60.0,2025-12-30T09:48:43.006Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:49:13.180Z
sensor.dishwasher_current_power,68.0,2025-12-30T09:49:43.403Z
sensor.dishwasher_current_power,59.0,2025-12-30T09:50:43.640Z
sensor.dishwasher_current_power,0.0,2025-12-30T09:51:13.766Z
sensor.dishwasher_current_power,65.0,2025-12-30T09:52:44.364Z
sensor.dishwasher_current_power,69.0,2025-12-30T09:53:14.503Z
sensor.dishwasher_current_power,65.0,2025-12-30T09:54:14.824Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:54:44.974Z
sensor.dishwasher_current_power,69.0,2025-12-30T09:55:15.102Z
sensor.dishwasher_current_power,64.0,2025-12-30T09:56:15.338Z
sensor.dishwasher_current_power,1947.0,2025-12-30T09:56:45.461Z
sensor.dishwasher_current_power,1930.0,2025-12-30T09:57:15.582Z
sensor.dishwasher_current_power,1922.0,2025-12-30T09:58:45.988Z
