entity_id,state,last_changed
sensor.washing_machine_state,off,2025-12-31T23:00:00.000Z
sensor.washing_machine_state,running,2026-01-01T07:12:18.338Z
sensor.washing_machine_state,off,2026-01-01T08:38:03.289Z
sensor.washing_machine_state,running,2026-01-01T09:08:36.319Z
sensor.washing_machine_state,off,2026-01-01T12:04:52.907Z
sensor.washing_machine_state,running,2026-01-01T12:11:29.326Z
sensor.washing_machine_state,off,2026-01-01T14:22:07.501Z
sensor.washing_machine_state,running,2026-01-01T15:22:51.973Z
sensor.washing_machine_state,off,2026-01-01T19:23:10.248Z
sensor.washing_machine_state,running,2026-01-01T19:23:16.417Z
sensor.washing_machine_state,off,2026-01-01T23:23:33.400Z
sensor.washing_machine_state,running,2026-01-01T23:23:39.596Z
sensor.washing_machine_state,off,2026-01-02T03:23:58.125Z
sensor.washing_machine_state,running,2026-01-02T03:24:02.930Z
sensor.washing_machine_state,off,2026-01-02T07:24:05.560Z
sensor.washing_machine_state,running,2026-01-02T07:24:10.573Z
sensor.washing_machine_state,off,2026-01-02T09:53:31.656Z
sensor.washing_machine_state,running,2026-01-02T10:13:40.362Z
sensor.washing_machine_state,off,2026-01-02T11:03:27.393Z
sensor.washing_machine_state,running,2026-01-02T12:33:33.266Z
sensor.washing_machine_state,off,2026-01-02T13:52:31.308Z
